goal_id,quarter,week,day,Activity,Project,Category,Status,Continous,Progress,work_h,Planned,Concluded,Description,Criteria,Comment,open_h
gl00083,TRUE,FALSE,FALSE,Red meat to 0,EatHealth,Health & Lifestyle,Not started,NA,0.3,5,31.12.23,NA,Reduce red meat to practical zero,Exceptions 2x per month out-of-home,NA,3.5
gl00089,TRUE,FALSE,FALSE,Ibirapuera Jogging,"Carina, Sport",Health & Lifestyle,Going Well,In Focus,0.47,5,30.06.22,NA,Restart Jogging in Ibirapuera Evenings,NA,NA,2.6500000000000004
gl00090,TRUE,FALSE,FALSE,ODS Programmer R,ODAPES,Job & Purpose,Going Well,In Focus,1,5,30.06.22,NA,"ODAPES: Find, hire and train junior R Programmer","hired, first salary paid",NA,0
gl00078,TRUE,TRUE,FALSE,Sauna+Wellness,"HomeRetro, Wellness",Health & Lifestyle,Going Well,NA,0.51,5,31.12.22,NA,Home Retrofit: revitalize sauna and wellness area,NA,NA,2.5
gl00079,TRUE,TRUE,FALSE,Reduce Alcohol 2,Alcohol,Health & Lifestyle,Not started,In Focus,0.5,5,31.12.22,NA,Reduce Alcohol: to 1 x per month + find substitute,"1 day per month, no exceptions, also find substitute for other events (alcohol free beer)",NA,2.5
gl00091,FALSE,FALSE,TRUE,No sugar,EatHealth,Health & Lifestyle,Done,In Focus,0,5,30.09.22,NA,Break completely with added sugar / only d,NA,NA,5
gl00092,FALSE,FALSE,TRUE,Train Sergio,ODAPES,Job & Purpose,Going Well,In Focus,1,5,30.06.22,NA,ODAPES: Lead and Train Sergio to become autonomous and efficient,NA,NA,0
gl00001,FALSE,FALSE,FALSE,First Salary ODAPES,ODAPES,Job & Purpose,Done,Concluded,0.3,5,30.09.22,07.09.22,Pay myself a first salary (~2000$) from ODAPES business,money on account,NA,3.5
gl00002,FALSE,FALSE,FALSE,Legal Mess 3,Legal,Job & Purpose,Done,Concluded,0.3,5,30.09.22,NA,Banking / Credit Card issues / recover pin company card // cc company // cc itau // inter Carinas cc,At least 2 payment options international,need to be done Banking before Chile,3.5
gl00003,FALSE,FALSE,FALSE,Gym Carina,"Carina, Sport",Family & Relationships,Done,Backfall,0.3,5,31.03.22,30.03.22,"Go to Gym with Carina, go regularly on the morning",NA,NA,3.5
gl00004,FALSE,FALSE,FALSE,Develop Nilo,ODAPES,Job & Purpose,Done,keep routine/Manage,0.3,5,31.12.22,NA,Develop Nilo as COO of ODAPES. lead and train him,he is independent and motivated,"do coaching also, book, etc..",3.5
gl00005,FALSE,FALSE,FALSE,Trip Carina,Carina,Family & Relationships,Done,Concluded,0.3,5,30.06.22,24.06.22,Make a trip in Brazil with Carina,done,NA,3.5
gl00006,FALSE,FALSE,FALSE,Conclude Metos Academy,DiverseInvest,Job & Purpose,Done,Concluded,0.3,5,31.03.22,NA,Conclude Metos Academy,"Delivered, approved",NA,3.5
gl00007,FALSE,FALSE,FALSE,20h Fasting 3xWeek,EatHealth,Health & Lifestyle,Done,NA,0.3,5,31.12.22,NA,"Fasting 3x per week 20h (only eat dinner), also reduce milk",keep 12h window all week,NA,3.5
gl00008,FALSE,FALSE,FALSE,Weight 86,Weight,Health & Lifestyle,Done,Backfall,0.3,5,28.02.22,28.02.22,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00009,FALSE,FALSE,FALSE,Weight 87,Weight,Health & Lifestyle,Done,keep routine/Manage,0.3,5,31.01.22,31.01.22,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00010,FALSE,FALSE,FALSE,Speech 3,ODAPES,Job & Purpose,Done,Concluded,0.3,5,30.09.22,27.04.22,Speak at 1 high-level Congress per Quarter r // Q3,speaking engagement,"MIT Summit, R Conference, University Piura, own Chile",3.5
gl00011,FALSE,FALSE,FALSE,Speech 2,ODAPES,Job & Purpose,Done,Concluded,0.3,5,30.06.22,11.04.22,Speak at 1 high-level Congress per Quarter r // Q2,speaking engagement,"MIT Summit, R Conference, University Piura, own Chile",3.5
gl00012,FALSE,FALSE,FALSE,Morning Routine,DayRoutine,Health & Lifestyle,Done,keep routine/Manage,0.3,5,31.03.22,31.03.22,"Establish Morning Routine (5:30 up, Gym, breakfast w Carina.",It’s become a routine and doesn’t cost effort anymore,observing,3.5
gl00013,FALSE,FALSE,FALSE,Weight 88,Weight,Health & Lifestyle,Done,keep routine/Manage,0.3,5,31.12.21,31.12.21,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00014,FALSE,FALSE,FALSE,Ecoparks,DiverseInvest,Job & Purpose,Done,Concluded,0.3,5,31.03.22,30.06.22,Concretize the Plan about EcoParks,NA,aborted project,3.5
gl00015,FALSE,FALSE,FALSE,DW Intra-day,DeepWork,Job & Purpose,Done,Backfall,0.3,5,28.02.22,31.03.22,Establish Deep Work intra-day Routine,It’s become a routine and doesn’t cost effort anymore,NA,3.5
gl00016,FALSE,FALSE,FALSE,ODS Admin System,ODAPES,Job & Purpose,Done,keep routine/Manage,0.3,5,30.06.22,15.07.22,ODAPES: Build up Admin System,NA,NA,3.5
gl00017,FALSE,FALSE,FALSE,ODS Project Management,ODAPES,Job & Purpose,Done,keep routine/Manage,0.3,5,30.06.22,08.07.22,ODAPES: Build up Processes and Project management,Nilo manages it / has tools needed,Train Nilo to do this job,3.5
gl00018,FALSE,FALSE,FALSE,Reduce Alcohol 1,Alcohol,Health & Lifestyle,Done,NA,0.3,5,30.09.22,NA,Reduce Alcohol: max 1 day per week over 4 weeks,1 day no exceptions,NA,3.5
gl00019,FALSE,FALSE,FALSE,Off Weeks,"Carina, ODAPES",Family & Relationships,Done,keep routine/Manage,0.3,5,31.03.22,31.03.22,Make Off weeks (start and make every Quarter),have,NA,3.5
gl00020,FALSE,FALSE,FALSE,Advisory 1,DiverseInvest,Job & Purpose,Done,Concluded,0.3,5,31.12.22,31.03.22,Get 1 Advisory Position in startup,signed advisory contract,NA,3.5
gl00021,FALSE,FALSE,FALSE,Silcon Edge,HomeRetro,Housing Structure Routines,Done,NA,0.3,5,31.12.22,NA,Home Retrofit: Repaing/clean and make silicon edge,NA,NA,3.5
gl00022,FALSE,FALSE,FALSE,Indoor Climbing,Hobby,Housing Structure Routines,Done,NA,0.3,5,31.12.22,NA,Going to the Indoor climbing club with Carina,NA,NA,3.5
gl00023,FALSE,FALSE,FALSE,health Tracking,GeneralHealth,Health & Lifestyle,Done,Concluded,0.3,5,30.09.22,NA,Set-up new health tracking system,regularly used and analyzed,NA,3.5
gl00024,FALSE,FALSE,FALSE,Legal Mess 2,Legal,Job & Purpose,Done,Concluded,0.3,5,30.06.22,13.07.22,Policia Federal / Migration / Name in order,things done,NA,3.5
gl00025,FALSE,FALSE,FALSE,First Customer Serve,ODAPES,Job & Purpose,Done,Concluded,0.3,5,31.01.22,30.06.22,ODAPES: Serve the First Customer and get paid,NA,prokampp is taking longer than expected,3.5
gl00026,FALSE,FALSE,FALSE,Speech 1,ODAPES,Job & Purpose,Done,Concluded,0.3,5,31.03.22,25.02.22,Speak at 1 high-level Congress per Quarter // Q1,speaking engagement,"MIT Summit, R Conference, University Piura, own Chile",3.5
gl00027,FALSE,FALSE,FALSE,ODS Team,ODAPES,Job & Purpose,Done,Concluded,0.3,5,31.12.21,31.12.22,ODAPES: Build up working Team,NA,NA,3.5
gl00028,FALSE,FALSE,FALSE,ODS Agrishow/Clap,ODAPES,Job & Purpose,Done,Concluded,0.3,5,01.05.22,01.05.22,ODAPES: participate at Agrishow and Clap2022 fair,NA,NA,3.5
gl00029,FALSE,FALSE,FALSE,Only 2 meals day,EatHealth,Health & Lifestyle,Done,Concluded,0.3,5,31.03.22,31.03.22,Eating only 2 meals per day,metabolic rhythm doesn't demand more,NA,3.5
gl00030,FALSE,FALSE,FALSE,Picture Staircase,HomeRetro,Housing Structure Routines,Done,NA,0.3,5,30.06.22,NA,Home Retrofit: Bricolage picture for Staircase,NA,NA,3.5
gl00031,FALSE,FALSE,FALSE,Income Streams 1,DiverseInvest,Job & Purpose,Done,Backfall,0.3,5,31.03.22,31.03.22,Find 1-3 Short-Term income stream to reduce loss,USD 4500 per quarter,"Rodrigo, Megan, MIT",3.5
gl00032,FALSE,FALSE,FALSE,Legal Mess 1,Legal,Job & Purpose,Done,Concluded,0.3,5,31.03.22,31.03.22,"Santander, CNPJ, new accountant, vivo, marcilio agreement",things done,NA,3.5
gl00033,FALSE,FALSE,FALSE,Cover Sitting Place,HomeRetro,Housing Structure Routines,Done,NA,0.3,5,30.09.22,NA,Home Retrofit: Coverage of Sitting Place,NA,NA,3.5
gl00034,FALSE,FALSE,FALSE,Legal Mess 4,Legal,Job & Purpose,Done,Concluded,0.3,5,31.12.22,NA,"CNH, Vivo internet, other stuff",things done,NA,3.5
gl00035,FALSE,FALSE,FALSE,Situation Metos,DiverseInvest,Job & Purpose,Done,Concluded,0.3,5,31.03.22,18.03.22,clarify situation with metos / legal,clear agreement,left only contract signature,3.5
gl00036,FALSE,FALSE,FALSE,ODS Financing,ODAPES,Job & Purpose,Done,Concluded,0.3,5,30.06.22,16.06.22,ODAPES: Build Financing Model along with BP + Rodrigo + co-founder Nilo,plan done,NA,3.5
gl00037,FALSE,FALSE,FALSE,Facebook,"DayRoutine, MentalHealth",Health & Lifestyle,Done,Concluded,0.3,5,31.12.21,31.12.21,Get off Facebook,Deleted. Forever (save photos on computer),observing,3.5
gl00038,FALSE,FALSE,FALSE,Vertical Garden,HomeRetro,Housing Structure Routines,Done,Concluded,0.3,5,30.04.22,20.05.22,Make a vertical garden at the shower on the balcony,NA,NA,3.5
gl00039,FALSE,FALSE,FALSE,12h Fasting,EatHealth,Health & Lifestyle,Done,Concluded,0.3,5,30.06.22,31.05.22,Maintaining a 12h+ window of fasting between the last and the first meal.,keep 12h window all week,NA,3.5
gl00040,FALSE,FALSE,FALSE,DW Intra-Week,DeepWork,Job & Purpose,Done,Concluded,0.3,5,31.03.22,NA,Establish Deep Work intra-week routine + Emails organization,It’s become a routine and doesn’t cost effort anymore,only emails and accounting left,3.5
gl00041,FALSE,FALSE,FALSE,Sell 2 more clients,ODAPES,Job & Purpose,Done,Backfall,0.3,5,30.06.22,08.07.22,ODAPES: Sell n more customers,"Contracts with 2 additional clients, i.e. 4 paying clients 2022",NA,3.5
gl00042,FALSE,FALSE,FALSE,Massage,Wellness,Health & Lifestyle,Done,Concluded,0.3,5,31.12.21,31.12.21,"Go to Massage, usually 1x per week. Relax after",NA,NA,3.5
gl00043,FALSE,FALSE,FALSE,Investment Startup,DiverseInvest,Job & Purpose,Done,Concluded,0.3,5,31.12.23,NA,Get co-investment in Startup with share 5-10%,contract signed,NA,3.5
gl00044,FALSE,FALSE,FALSE,Get Investors ODS,ODAPES,Job & Purpose,Going Bad,Backfall,0.3,5,30.11.22,NA,"Make BP, pitch and acquire investment 90k$",Investment >60k$ paid in,NA,3.5
gl00045,FALSE,FALSE,FALSE,Sleep Cycle,Sleep,Health & Lifestyle,Going Bad,In Focus,0.3,5,30.09.22,NA,Establish Sleep cycle inside my circadian rhythm all time,Need to track / measure my quantitative index,NA,3.5
gl00046,FALSE,FALSE,FALSE,Foothold USA,DiverseInvest,Job & Purpose,Going Bad,NA,0.3,5,30.06.23,NA,"Get a foodhold in the USA (MIT, Silicon Valley) for Branding and Plan B",NA,"MACA, Susana, ondeck",3.5
gl00047,FALSE,FALSE,FALSE,ODS Revenue,ODAPES,Job & Purpose,Going Bad,NA,0.3,5,31.12.22,NA,ODAPES: Achieve 90k revenue 2022,Order Intake 90k$ by 31.12.2022,NA,3.5
gl00048,FALSE,FALSE,FALSE,Eat Out Carina,Carina,Family & Relationships,Going Bad,In Focus,0.3,5,30.06.22,NA,Eating out 1x every two weeks with Carina,NA,NA,3.5
gl00049,FALSE,FALSE,FALSE,Dinner Earlier,DayRoutine,Health & Lifestyle,Going Bad,In Focus,0.3,5,30.09.22,NA,Eating dinner a bit earlier,eat 19:30 weekday / 20:30 weekend,NA,3.5
gl00050,FALSE,FALSE,FALSE,Breathing,MentalHealth,Health & Lifestyle,Going Bad,In Focus,0.3,5,30.06.22,NA,"Learn, practice and regularly apply breathing techniques",NA,NA,3.5
gl00051,FALSE,FALSE,FALSE,DW App,DeepWork,Job & Purpose,Not started,NA,0.3,5,31.12.22,NA,Make an electronic version of deep work agenda to make it easy to do. Pop up window in pc,NA,Function is also that it shows you every day a summary of the positive stuff and it triggers you to  put it in. If possible also to shut down all work programs.,3.5
gl00052,FALSE,FALSE,FALSE,Make Evening Video,MentalHealth,Health & Lifestyle,Not started,NA,0.3,5,31.03.23,NA,Make a Video showing all my life successes in chronological order to see progress,Video done,NA,3.5
gl00053,FALSE,FALSE,FALSE,Carina Paar Therapie,Carina,Family & Relationships,Not started,NA,0.3,5,31.01.23,NA,NA,NA,NA,3.5
gl00054,FALSE,FALSE,FALSE,Stress App,GeneralHealth,Health & Lifestyle,Not started,NA,0.3,5,31.12.22,NA,"Dev a Shiny app which connects with Garmin and allows to correlate Stress factors, collect labels",App in use,NA,3.5
gl00055,FALSE,FALSE,FALSE,Weight 80,Weight,Health & Lifestyle,Not started,NA,0.3,5,31.08.22,NA,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00056,FALSE,FALSE,FALSE,Weight 81,Weight,Health & Lifestyle,Not started,NA,0.3,5,31.07.22,NA,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00057,FALSE,FALSE,FALSE,Weight 82,Weight,Health & Lifestyle,Not started,NA,0.3,5,30.06.22,NA,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00058,FALSE,FALSE,FALSE,Weight 83,Weight,Health & Lifestyle,Not started,NA,0.3,5,31.05.22,NA,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00059,FALSE,FALSE,FALSE,Weight 84,Weight,Health & Lifestyle,Not started,NA,0.3,5,30.04.22,NA,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00060,FALSE,FALSE,FALSE,Weight 85,Weight,Health & Lifestyle,Not started,NA,0.3,5,31.03.22,NA,Weigh <80 kg permanently,Balance!,1 kg per Q,3.5
gl00061,FALSE,FALSE,FALSE,Speech 4,ODAPES,Job & Purpose,Not started,NA,0.3,5,31.12.22,NA,Speak at 1 high-level Congress per Quarter r // Q4,speaking engagement,"MIT Summit, R Conference, University Piura, own Chile",3.5
gl00062,FALSE,FALSE,FALSE,Algorithms ODS,ODAPES,Job & Purpose,Not started,NA,0.3,5,31.08.22,NA,Dev all algorithms we actually sell already,Working on API,NA,3.5
gl00063,FALSE,FALSE,FALSE,Creole Cuisine,Hobby,Health & Lifestyle,Not started,NA,0.3,5,31.12.22,NA,Creole Cuisine Challenge with Christian/Peter,becomes at least monthly routine,NA,3.5
gl00064,FALSE,FALSE,FALSE,Advisory 2,DiverseInvest,Job & Purpose,Not started,NA,0.3,5,31.12.23,NA,Get 1 Brazilian Mentoring/Advisory Position,NA,NA,3.5
gl00065,FALSE,FALSE,FALSE,Art Gallery,Hobby,Housing Structure Routines,Not started,NA,0.3,5,31.12.22,NA,Maybe going to art galleries with Peter,NA,NA,3.5
gl00066,FALSE,FALSE,FALSE,Wellness Evening,Wellness,Health & Lifestyle,Not started,NA,0.3,5,31.12.22,NA,Make weekly Wellness/Mindfulness evening (message+sauna+breath),NA,NA,3.5
gl00067,FALSE,FALSE,FALSE,Financial Planning 5Y,Plan,Job & Purpose,Not started,NA,0.3,5,31.12.22,NA,"Financial Planning next 5 years / Bank Accounts, investments, Carina etc..",NA,NA,3.5
gl00068,FALSE,FALSE,FALSE,Food App project,EatHealth,Health & Lifestyle,Not started,NA,0.3,5,31.12.23,NA,"Food-App project (meals, variety, ingidients, etc…)",share with frields/open-source it,NA,3.5
gl00069,FALSE,FALSE,FALSE,Learn Art,Hobby,Housing Structure Routines,Not started,NA,0.3,5,31.12.25,NA,Learning to do some Artwork and Handicraft by myself,NA,NA,3.5
gl00070,FALSE,FALSE,FALSE,Insulin Research,GeneralHealth,Health & Lifestyle,Not started,NA,0.3,5,30.06.23,NA,Deepen the research of insulin and gut health related foods here in Brazil,inside the app,NA,3.5
gl00071,FALSE,FALSE,FALSE,ODS Found Company,ODAPES,Job & Purpose,Not started,NA,0.3,5,30.06.22,NA,ODAPES: Founding Company (social contract),NA,NA,3.5
gl00072,FALSE,FALSE,FALSE,Dishes Net0,EatHealth,Health & Lifestyle,Not started,NA,0.3,5,31.12.23,NA,Make dishes with NetZero or close to net zero impact,inside the app,NA,3.5
gl00073,FALSE,FALSE,FALSE,Income Streams 2,DiverseInvest,Job & Purpose,Not started,NA,0.3,5,30.09.22,NA,Find 1-3 Short-Term income stream to break even,USD 6000 per quarter,possibly to be replaced by ODAPES,3.5
gl00074,FALSE,FALSE,FALSE,ODS Meta Platform,ODAPES,Job & Purpose,Not started,NA,0.3,5,31.03.23,NA,ODAPES: set-up meta platform + low cost product,NA,Rush: need to be one by Agrishow,3.5
gl00075,FALSE,FALSE,FALSE,Best Foods,EatHealth,Health & Lifestyle,Not started,NA,0.3,5,31.03.23,NA,"Study the best foods (inflammatory, blood sugar and LDL). Make a list of that foods available in Brazil and create a set of menus .",inside the app,NA,3.5
